TransactionAmount,TransactionType,Location,Channel,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionHour,DayOfWeek,IsWeekend,TransactionToBalanceRatio,AgeGroup,Target
14.089999999999975,Debit,San Diego,ATM,Doctor,81.0,1.0,5112.21,16.0,1.0,0.0,0.0027561460197945697,Lansia (56+),1
376.24,Debit,Houston,ATM,Doctor,141.0,1.0,13758.91,16.0,1.0,0.0,0.027345187420719563,Lansia (56+),0
126.29000000000002,Debit,Mesa,Online,Student,56.00000000000001,1.0,1122.3500000000004,18.0,0.0,0.0,0.11252273130241788,Muda (0-35),1
184.5,Debit,Raleigh,Online,Student,25.0,1.0,8569.06,16.0,4.0,0.0,0.021530947206467532,Muda (0-35),1
13.449999999999989,Credit,Atlanta,Online,Student,198.0,1.0,7429.4,17.0,0.0,0.0,0.0018103747529578662,Dewasa (36-55),0
92.15,Debit,Oklahoma City,ATM,Student,172.0,1.0,781.6800000000003,17.0,0.0,0.0,0.1178869641196345,Muda (0-35),1
7.079999999999984,Credit,Seattle,ATM,Doctor,139.0,1.0,13316.71,16.0,2.0,0.0,0.0005316628107345789,Dewasa (36-55),1
171.42,Credit,Indianapolis,Branch,Retired,291.0,1.0,2796.24,17.0,0.0,0.0,0.061303728827379333,Lansia (56+),0
106.23000000000002,Credit,Detroit,Branch,Engineer,86.0,1.0,9095.14,16.0,1.0,0.0,0.011679862907018168,Dewasa (36-55),0
815.96,Debit,Nashville,ATM,Doctor,120.0,1.0,1021.8800000000001,16.0,4.0,0.0,0.7984882779893159,Dewasa (36-55),1
17.78000000000003,Credit,Albuquerque,Online,Engineer,59.0,1.0,7599.52,16.0,1.0,0.0,0.002339621141911441,Dewasa (36-55),0
190.02,Debit,Memphis,Online,Student,173.0,1.0,1528.81,17.0,0.0,0.0,0.12429266927043305,Muda (0-35),1
494.52,Credit,Mesa,Branch,Student,111.0,1.0,1620.02,17.0,2.0,0.0,0.305255302246082,Muda (0-35),1
781.76,Debit,Memphis,ATM,Student,123.0,1.0,189.6899999999996,16.0,0.0,0.0,4.121228735153486,Muda (0-35),1
166.99,Debit,Louisville,Online,Student,134.0,1.0,299.9300000000003,16.0,0.0,0.0,0.5567613884526775,Muda (0-35),0
465.45,Debit,Denver,ATM,Engineer,129.0,1.0,3465.54,16.0,1.0,0.0,0.13430803444541559,Dewasa (36-55),0
555.8,Credit,Austin,Branch,Student,158.0,1.0,1131.2600000000002,16.0,0.0,0.0,0.4913101397467074,Muda (0-35),0
492.93,Debit,Columbus,Online,Engineer,234.0,1.0,5109.97,18.0,3.0,0.0,0.09646434392680506,Dewasa (36-55),0
18.680000000000007,Credit,Albuquerque,Branch,Retired,106.0,1.0,7948.37,16.0,1.0,0.0,0.002350167097132233,Lansia (56+),0
71.48000000000002,Credit,Columbus,Online,Student,169.0,1.0,6568.59,18.0,3.0,0.0,0.010882090238226116,Muda (0-35),0
59.31999999999999,Debit,Los Angeles,Branch,Retired,38.0,1.0,5750.89,16.0,1.0,0.0,0.01031492337448231,Lansia (56+),0
85.76999999999998,Debit,Las Vegas,Branch,Doctor,93.0,1.0,9146.19,18.0,4.0,0.0,0.009377674268993497,Dewasa (36-55),0
52.19999999999999,Debit,Atlanta,Online,Engineer,120.0,1.0,8974.93,18.0,1.0,0.0,0.005816200703938568,Dewasa (36-55),0
345.84,Debit,Fort Worth,Online,Student,142.0,3.0,1402.5,18.0,1.0,0.0,0.24658805947375437,Muda (0-35),0
145.54,Debit,Raleigh,Online,Student,96.0,1.0,1930.96,16.0,3.0,0.0,0.07537179673747942,Muda (0-35),1
7.490000000000009,Credit,Houston,Online,Retired,276.0,1.0,3634.67,17.0,4.0,0.0,0.002060709208618894,Lansia (56+),0
246.93,Debit,Miami,ATM,Student,158.0,5.0,673.3500000000004,16.0,0.0,0.0,0.3667181009607174,Muda (0-35),1
